group,Channels
ext,OSNVIP E!_HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/8631
ext,|OSN|: Al Yawm,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/8494
ext,OSN | Kids Zone,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/68880
ext,PH: GMA LIFE TV,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/78876
ext,Philipin: TFC,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/31435
ext,Philpin: GMA Pinoy TV,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/10791
ext,PH: ABS CBN NEWS,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/34412
ext,PH: ABS CBN NEWS,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/41477
ext,PH: Asia News,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/41478
ext,PH: Living Asia,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/41482
ext,Philipin: GMA Pinoy HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/47736
ext,Philipin: ABS-CBN HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/47737
ext,Philipin: TFC HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/47738
ext,Philipin: DZMM HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/47739
ext,Philipin: Cinema A One HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/47740
ext,Philipin: Viva HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/47741
ext,Philipin: GMA News TV,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/47742
ext,Philipin: ANC HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/47743
ext,Philipin: MYXtv,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/47744
ext,Al-Fajer TV HD1,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/40197
ext,Al-Fajer TV HD2,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/40198
ext,Al-Fajer TV HD3,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/40199
ext,Al-Fajer TV HD4,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/40200
ext,Al-Fajer TV HD5,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/40201
ext,DEᶫᶹ™: DAS ERSTE (ARD),http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67240
ext,DEᶫᶹ™: ARTE HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67241
ext,DEᶫᶹ™: 3 SAT,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67242
ext,DEᶫᶹ™: ZDF HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67244
ext,DEᶫᶹ™: ZDF,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67245
ext,DEᶫᶹ™: ZDF NEO,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67246
ext,DEᶫᶹ™: RTL HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67247
ext,DEᶫᶹ™: RTLII HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67248
ext,DEᶫᶹ™: RTL TELVISION,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67249
ext,DEᶫᶹ™: RTL2,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67250
ext,DEᶫᶹ™: RTL PLUS,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67251
ext,DEᶫᶹ™: RTL NITRO,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67252
ext,DEᶫᶹ™: SIXX HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67253
ext,DEᶫᶹ™: PROSIEBEN HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67254
ext,DEᶫᶹ™: SAT.1 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67256
ext,DEᶫᶹ™: SAT.1 GOLD HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67257
ext,DEᶫᶹ™: VOX HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67258
ext,DEᶫᶹ™: VOX,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67259
ext,DEᶫᶹ™: PHOENIX HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67260
ext,DEᶫᶹ™: KABEL EINS HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67261
ext,DEᶫᶹ™: KABEL EINS CLASSICS HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67262
ext,DEᶫᶹ™: TELE 5 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67263
ext,DEᶫᶹ™: ANIXE HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67264
ext,DEᶫᶹ™: DMAX HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67265
ext,DEᶫᶹ™: ONE 1 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67266

group,DEᶫᶹ™: SPORT
ext,===== DEᶫᶹ™: SPORT =====,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67267
ext,DEᶫᶹ™: SKY SPORT NEWS HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67268
ext,DEᶫᶹ™: SKY SPORT 1 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67269
ext,DEᶫᶹ™: SKY SPORT 2,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67270
ext,DEᶫᶹ™: SKY SPORT 2 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67271
ext,DEᶫᶹ™: DAZN 1 BAR HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67272
ext,DEᶫᶹ™: DAZN 2 BAR HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67273
ext,DEᶫᶹ™: SKY BUNDESLIGA 1 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67274
